example_id,conversation_id,customer_message,auto_intent,should_escalate,escalation_reason,expected_resolution,annotator_notes
50,conv_0060,"I was charged for a ride that was cancelled by the driver. Need refund",refund_request,,,"Process refund for cancelled ride charge",
51,conv_0104,"Payment was declined but the ride still went through. How am I being charged?",trip_fare_dispute,,,"Investigate payment status and resolve billing",
52,conv_0001,"Where is my driver? The app says they're 2 minutes away but it's been 10 minutes",ride_status,,,"Check real driver location and provide accurate ETA",
53,conv_0198,"Love the service! Just wanted to say thanks",other,,,"Acknowledge positive feedback",
54,conv_0107,"My coupon code didn't apply. It took the full amount from my card",trip_fare_dispute,,,"Apply coupon retroactively and refund difference",
55,conv_0129,"Account locked after too many failed login attempts. Help me unlock it",account_access,,,"Verify identity and unlock account",
56,conv_0056,"How do I request a refund for a terrible ride experience?",refund_request,,,"Process refund request and provide compensation",
57,conv_0105,"I need to update my credit card on file. The old one expired",account_access,,,"Assist with payment method update",
58,conv_0009,"My ride shows as completed but I'm still in the car. The driver dropped someone else off first",ride_status,,,"Investigate ride completion status and refund if needed",
59,conv_0099,"App features not loading properly. Can't see ride history or receipts",app_functionality,,,"Report feature loading issue and suggest cache clear",
60,conv_0019,"The app says my ride is complete but I haven't reached my destination yet",ride_status,,,"Investigate premature ride completion and process refund",
61,conv_0065,"I want a full refund for that awful ride. The driver was aggressive",refund_request,,,"Process refund for safety-related complaint",
62,conv_0168,"I ordered by mistake and need to cancel immediately before the driver arrives",cancellation,,,"Process cancellation and waive fee if driver hasn't arrived",
63,conv_0146,"I want to permanently delete my Uber account",cancellation,,,"Process account deletion request",
64,conv_0006,"I need to change the pickup location for my current ride",ride_status,,,"Update pickup location if ride hasn't started",
65,conv_0183,"My receipt doesn't show the correct amount. It's different from what I was charged",trip_fare_dispute,,,"Investigate receipt discrepancy and provide correct receipt",
66,conv_0017,"My Uber EATS order arrived but half the items are missing",ride_status,,,"Process missing items complaint and issue partial refund",
67,conv_0002,"My driver went to the wrong pickup location and I can't find them",ride_status,,,"Help locate driver and update pickup point",
68,conv_0039,"The app shows my ride as delivered but I never received my Uber EATS order",ride_status,,,"Investigate delivery status and process refund or redelivery",
69,conv_0196,"Do you offer wheelchair accessible vehicles?",other,,,"Provide wheelchair accessible vehicle availability information",
70,conv_0156,"Not worth the money at all. Overcharged for a terrible experience",complaint,,,"Acknowledge complaint and offer fare adjustment",
71,conv_0133,"My account shows the wrong phone number and I can't change it",account_access,,,"Help update phone number after identity verification",
72,conv_0164,"This is the third time I'm contacting you about the same issue. Nobody is helping",complaint,,,"Urgent: Escalate repeat contact complaint immediately",
73,conv_0081,"Search function in the app isn't working. Can't find any restaurants",app_functionality,,,"Report search functionality issue to tech team",
74,conv_0013,"My ride has been 'in progress' for 3 hours but I got out 2 hours ago",ride_status,,,"Urgent: Close ride and process appropriate fare",
75,conv_0037,"My Uber EATS order was delivered to the wrong address",ride_status,,,"Investigate delivery address issue and process refund",
76,conv_0100,"Can't upload a photo for my profile. App crashes every time",app_functionality,,,"Report photo upload crash and suggest alternative method",
77,conv_0076,"App crashes every time I try to open it on my Android phone",app_functionality,,,"Suggest reinstall and report crash to tech team",
78,conv_0036,"I need to update my pickup address for a ride I have scheduled",ride_status,,,"Update pickup address for scheduled ride",
79,conv_0062,"Can I get a partial refund for the wrong delivery items?",refund_request,,,"Process partial refund for incorrect items",
80,conv_0165,"I want to cancel my scheduled ride. How far in advance can I cancel?",cancellation,,,"Explain scheduled ride cancellation policy",
81,conv_0086,"The app freezes completely when I try to pay. Can't complete any ride",app_functionality,,,"Report payment freeze issue and suggest alternative payment",
82,conv_0024,"My driver's ETA keeps going up instead of down. They're not moving toward me",ride_status,,,"Check driver actual location and dispatch closer driver if needed",
83,conv_0151,"Extremely disappointed. Waited 40 minutes for a driver who never showed",complaint,,,"Acknowledge failure and provide credit for next ride",
84,conv_0142,"I need to change the email address on my Uber account",account_access,,,"Process email change after identity verification",
85,conv_0041,"Where is my Uber? I've been waiting for 20 minutes in the rain",ride_status,,,"Dispatch closer driver and provide accurate ETA",
86,conv_0025,"When is my scheduled ride picking me up? I need to plan my morning",ride_status,,,"Check scheduled ride details and provide pickup time",
87,conv_0016,"I need to change my pickup location for a ride I already booked",ride_status,,,"Update pickup location if driver hasn't arrived",
88,conv_0030,"Can I change my destination while the ride is in progress?",ride_status,,,"Explain destination change policy during active ride",
89,conv_0033,"My ride has been 'searching for driver' for 30 minutes. Nobody is picking up",ride_status,,,"Investigate driver availability and suggest alternatives",
90,conv_0106,"Someone used my account to take a ride I didn't authorize. This is fraud",account_access,,,"Urgent: Escalate suspected unauthorized account use immediately",
91,conv_0035,"When will my ride arrive? I'm going to be late for work",ride_status,,,"Check driver location and provide accurate ETA",
92,conv_0059,"I was charged twice for the same ride. Need refund for the duplicate charge",refund_request,,,"Process refund for duplicate charge",
93,conv_0090,"Can't upload my profile photo. App keeps giving an error",app_functionality,,,"Report photo upload error and suggest workaround",
94,conv_0159,"Poor quality experience for the price paid. Not worth it",complaint,,,"Acknowledge feedback and offer fare review",
95,conv_0043,"My ride has been 'in progress' for over an hour but I completed it 45 minutes ago",ride_status,,,"Close ride and process correct fare",
96,conv_0101,"Search function in the app is broken. Can't find any nearby drivers",app_functionality,,,"Report search issue and suggest alternatives",
97,conv_0096,"App crashes on startup every time since the last update",app_functionality,,,"Report update-related crash and suggest rollback",
98,conv_0136,"I want to delete my account permanently. How do I do that?",cancellation,,,"Process account deletion request",
99,conv_0045,"I need a refund for my last ride. The driver was completely unprofessional",refund_request,,,"Process refund and file driver complaint",
100,conv_0068,"The food from my Uber EATS order was cold and incomplete. Need a full refund",refund_request,,,"Process full refund for food quality issue",
101,conv_0131,"Two-factor authentication code not arriving. Can't access my account",account_access,,,"Investigate 2FA delivery and provide alternative verification",
102,conv_0144,"I think someone else accessed my account. There are rides I didn't take",account_access,,,"Urgent: Escalate unauthorized access and secure account",
103,conv_0048,"My Uber EATS order was completely wrong. Got someone else's food",ride_status,,,"Process complaint and issue full refund",
104,conv_0075,"Website keeps crashing when I try to log in on my computer",app_functionality,,,"Report web login issue and suggest mobile app alternative",
105,conv_0085,"The app crashes whenever I try to add a new payment method",app_functionality,,,"Report payment method crash and suggest web-based alternative",
106,conv_0187,"My subscription price increased without any notice. This is not acceptable",trip_fare_dispute,,,"Review subscription pricing and explain change",
107,conv_0032,"My driver is refusing to go to my destination. Says it's too far",ride_status,,,"Urgent: Escalate driver refusal and dispatch new driver",
108,conv_0181,"I need to update my billing address for my business account",account_access,,,"Process billing address update",
109,conv_0052,"Can I get a partial refund since my delivery was missing items?",refund_request,,,"Process partial refund for missing items",
110,conv_0029,"The app says my ride is completed but I never got in the car",ride_status,,,"Urgent: Cancel ride and refund charge immediately",
111,conv_0038,"Wrong items delivered from Uber EATS. I ordered pasta but got pizza",ride_status,,,"Process incorrect delivery complaint and refund",
112,conv_0012,"My driver went completely off route and I was charged extra for the detour",trip_fare_dispute,,,"Review route and refund fare difference",
113,conv_0171,"Cancellation request from 5 days ago hasn't been processed. I'm still being charged",cancellation,,,"Process pending cancellation and refund any charges",
114,conv_0193,"Is the Uber service available in my area? I can't find it",other,,,"Provide service availability information",
115,conv_0058,"My Uber EATS order was delivered 2 hours late and food was cold",ride_status,,,"Process late delivery complaint and issue refund",
116,conv_0155,"Your product broke after one ride. This is unacceptable quality",complaint,,,"Log quality complaint and offer replacement or refund",
117,conv_0092,"Can't complete my ride booking. Payment screen keeps crashing",app_functionality,,,"Report payment screen crash and suggest alternative",
118,conv_0150,"Worst customer service experience ever. Been waiting for help for days",complaint,,,"Urgent: Escalate unresolved customer service issue immediately",
119,conv_0061,"The ride was terrible. Driver was speeding and driving recklessly",complaint,,,"Urgent: Escalate safety concern immediately",
120,conv_0188,"My account shows a balance but I don't know where it came from",account_access,,,"Review account balance and explain charges/credits",
121,conv_0140,"Unable to access my account. Getting an error message every time",account_access,,,"Troubleshoot account access error",
122,conv_0143,"My account shows wrong information. How do I update it?",account_access,,,"Help update account information after verification",
123,conv_0132,"I need to change the email associated with my account",account_access,,,"Process email change after identity verification",
124,conv_0192,"What payment methods does Uber accept?",other,,,"Provide accepted payment methods information",
125,conv_0053,"Refund was denied but I disagree. I should get my money back",refund_request,,,"Review denied refund and escalate if needed",
126,conv_0163,"I've been waiting 27 days for my refund to process. When will it arrive?",refund_request,,,"Check refund status and expedite processing",
127,conv_0180,"The amount on my receipt doesn't match what I was charged",trip_fare_dispute,,,"Reconcile receipt and actual charge, adjust if needed",
128,conv_0022,"My driver hasn't arrived and the app says they're 5 minutes away. It's been 20 minutes",ride_status,,,"Dispatch closer driver and investigate original driver",
129,conv_0049,"I was charged twice for the same trip. Need refund for duplicate charge",refund_request,,,"Process refund for duplicate charge",
130,conv_0003,"My ride has been 'searching for driver' for over an hour. Nobody is available",ride_status,,,"Investigate driver availability and suggest alternative transport",
131,conv_0071,"The Uber EATS order was completely wrong. Nothing I ordered was delivered",refund_request,,,"Process full refund for incorrect order",
132,conv_0147,"Very unhappy with the service. Driver was rude and the car was dirty",complaint,,,"Acknowledge complaint and take driver feedback action",
133,conv_0169,"Cancel my subscription immediately. I've been trying for weeks",cancellation,,,"Process immediate subscription cancellation",
134,conv_0067,"Refund not processed yet. It's been over a week since I requested it",refund_request,,,"Check refund status and expedite if delayed",
135,conv_0091,"Search results in the app aren't showing any restaurants near me",app_functionality,,,"Verify restaurant availability and report search issue",
136,conv_0055,"I need a refund for my ride. The driver took a 40-minute detour",refund_request,,,"Review route and process refund for overcharge",
137,conv_0125,"I need to update my credit card information on my account",account_access,,,"Assist with payment method update",
138,conv_0047,"Refund not processed yet. It's been 25 days and I still haven't received it",refund_request,,,"Urgent: Escalate delayed refund immediately",
139,conv_0084,"Notifications not working in the app. I don't get ride updates",app_functionality,,,"Check notification settings and report bug",
140,conv_0127,"Can't log into my account. Password reset isn't working either",account_access,,,"Troubleshoot login and provide alternative access method",
141,conv_0008,"Wrong food delivered from Uber EATS. Got completely different order",ride_status,,,"Process incorrect delivery and issue refund",
142,conv_0087,"Error message when trying to book a ride. Says 'something went wrong'",app_functionality,,,"Report booking error and suggest alternative booking method",
143,conv_0098,"Page not loading in the app. Just keeps spinning indefinitely",app_functionality,,,"Report loading issue and suggest app restart or reinstall",
144,conv_0119,"Payment failed but the ride was still charged to my card",trip_fare_dispute,,,"Investigate payment-ride discrepancy and resolve",
145,conv_0199,"Just testing if this support channel works",other,,,"Acknowledge test message",
146,conv_0116,"Unauthorized charge on my account for a ride I didn't take",account_access,,,"Urgent: Escalate unauthorized charge immediately",
147,conv_0072,"Can I get a partial refund for the items missing from my delivery?",refund_request,,,"Process partial refund for missing items",
148,conv_0023,"My ride has been 'in progress' for 45 minutes but I got out 30 minutes ago",ride_status,,,"Close ride and process correct fare immediately",
149,conv_0186,"I need an itemized receipt for my business expenses",other,,,"Provide detailed receipt for expense reporting",
150,conv_0083,"Mobile app crashes every time I open it on my phone",app_functionality,,,"Suggest reinstall and report crash to tech team",
151,conv_0069,"Charged twice for the same ride. Need refund for duplicate charge",refund_request,,,"Process refund for duplicate charge",
152,conv_0189,"What is your refund policy for ride issues?",other,,,"Explain refund policy and process if applicable",
153,conv_0160,"Worst customer service experience. Nobody is responding to my complaints",complaint,,,"Urgent: Escalate unresolved complaint immediately",
154,conv_0120,"Can I pay with cash instead of card for my next ride?",other,,,"Provide cash payment availability information",
155,conv_0124,"Payment didn't go through but money was deducted from my account",trip_fare_dispute,,,"Investigate payment discrepancy and resolve",
156,conv_0138,"Password reset email not received. I've checked spam too",account_access,,,"Investigate email delivery and provide alternative reset method",
157,conv_0070,"I was charged for a ride that was cancelled. Need refund",refund_request,,,"Process refund for cancelled ride charge",
158,conv_0134,"I think someone else accessed my account and took rides on it",account_access,,,"Urgent: Escalate unauthorized access and secure account",
159,conv_0046,"How do I get a refund for a ride that never happened?",refund_request,,,"Process refund for unused ride",
160,conv_0112,"Promo code not working. Says it's invalid but it was just sent to me",trip_fare_dispute,,,"Check promo code validity and apply if valid",
161,conv_0040,"Can I change my destination after the driver has already started the trip?",ride_status,,,"Explain destination change policy during ride",
162,conv_0118,"Why was I charged $19.99 when the ride was supposed to be free with my promo?",trip_fare_dispute,,,"Investigate promo application and refund difference",
163,conv_0093,"Mobile app crashes every time I try to request a ride",app_functionality,,,"Report crash and suggest alternative booking methods",
164,conv_0111,"The fare charged is much higher than the estimate shown at booking",trip_fare_dispute,,,"Review fare calculation and refund overcharge",
165,conv_0200,"Love Uber! Best transportation service ever",other,,,"Acknowledge positive feedback",
166,conv_0126,"Unauthorized charge on my account. I didn't take any rides today",account_access,,,"Urgent: Escalate unauthorized charge immediately",
167,conv_0108,"Why was I charged $149.99 for a ride that should have been $10?",trip_fare_dispute,,,"Review massive fare discrepancy and process immediate refund",
168,conv_0004,"My driver's location is showing on the other side of the city",ride_status,,,"Check driver GPS and provide correct location",
169,conv_0088,"Page not loading in the app. Just shows a blank white screen",app_functionality,,,"Report blank screen issue and suggest reinstall",
170,conv_0166,"How do I cancel my Uber EATS subscription?",cancellation,,,"Provide subscription cancellation instructions",
171,conv_0130,"Unable to access my account. Getting 'account not found' error",account_access,,,"Investigate account status and help regain access",
172,conv_0018,"Wrong food delivered from Uber EATS. Completely different order than what I placed",ride_status,,,"Process incorrect delivery complaint and refund",
173,conv_0095,"Website keeps crashing when I try to book a ride on my laptop",app_functionality,,,"Report web booking crash and suggest mobile app",
174,conv_0170,"I want to cancel my ride but keep my account active",cancellation,,,"Process ride cancellation without account changes",
175,conv_0110,"Can I split the fare with my friend for this ride?",other,,,"Explain fare splitting feature and process if available",
176,conv_0137,"Can't log into my account. Says my email is not recognized",account_access,,,"Help identify account and provide recovery options",
177,conv_0089,"App features not working as expected. Can't see ride history",app_functionality,,,"Report feature issue and suggest troubleshooting steps",
178,conv_0011,"Where is my driver? They should have been here 15 minutes ago",ride_status,,,"Check driver location and dispatch closer driver if needed",
179,conv_0145,"I can't remember which email I used for my Uber account",account_access,,,"Help identify account via phone number or other details",
180,conv_0031,"Where is my Uber? The app says it's arriving but I don't see it",ride_status,,,"Help locate vehicle and provide driver contact",
181,conv_0154,"This is the third time I'm contacting you. No one has resolved my issue",complaint,,,"Urgent: Escalate repeat contact immediately",
182,conv_0176,"How do I cancel my Uber subscription? The option isn't in the app",cancellation,,,"Provide subscription cancellation instructions",
183,conv_0078,"Page not loading. App just shows a spinning wheel",app_functionality,,,"Report loading issue and suggest cache clear",
184,conv_0179,"Don't understand a charge on my statement. It doesn't match any ride",trip_fare_dispute,,,"Review charge and explain or process refund",
185,conv_0027,"My Uber EATS order is missing several items I paid for",ride_status,,,"Process missing items complaint and refund",
186,conv_0063,"Refund was denied but I believe I deserve my money back",refund_request,,,"Review denied refund and escalate if needed",
187,conv_0161,"Extremely disappointed with the service. Will not use again",complaint,,,"Acknowledge feedback and offer retention incentive",
188,conv_0177,"I need to stop my recurring subscription payment",cancellation,,,"Process subscription cancellation",
189,conv_0152,"Your competitor offers better service at lower prices",complaint,,,"Acknowledge feedback and highlight Uber's value",
190,conv_0020,"Can I change my pickup location after booking the ride?",ride_status,,,"Explain pickup change policy and process if possible",
191,conv_0051,"The ride was terrible. I want a complete refund for the poor service",refund_request,,,"Process refund for poor service experience",
192,conv_0184,"Invoice shows items I never ordered. Incorrect billing",trip_fare_dispute,,,"Review invoice and correct billing errors",
193,conv_0102,"Can't complete checkout on the app. Payment screen keeps freezing",app_functionality,,,"Report checkout freeze and suggest alternative payment",
194,conv_0097,"Error message every time I try to book a ride. App is unusable",app_functionality,,,"Report booking error and suggest reinstall",
195,conv_0174,"Cancel my premium subscription immediately. I want a refund",cancellation,,,"Process immediate cancellation and refund request",
196,conv_0148,"This is completely unacceptable. I've been overcharged and no one is helping",complaint,,,"Urgent: Escalate combined overcharge and service complaint immediately",
197,conv_0080,"Can't upload photos for my driver profile. App keeps crashing",app_functionality,,,"Report upload crash and suggest web-based upload",
198,conv_0007,"My Uber EATS order arrived with completely wrong items",ride_status,,,"Process incorrect delivery and issue refund",
199,conv_0149,"Poor quality experience for the premium price I paid",complaint,,,"Acknowledge complaint and review pricing",
200,conv_0028,"Wrong food delivered from Uber EATS. Not what I ordered at all",ride_status,,,"Process incorrect delivery complaint and full refund",
