example_id,conversation_id,customer_message,brand_response,auto_intent,auto_should_escalate,thread_length,timestamp,human_intent,human_should_escalate,annotator_notes
34,594024,@Uber_Support is there a way to check the status of my application to deliver with Uber Eats? Or to speed up the process I think all that is waiting was my insurance which I uploaded.,@145142 Here to help. Send us a note at https://t.co/tv4psVy8sr so our team can connect .,ride_status,False,3,2017-12-03 18:19:45+00:00,,,
35,594015,@115877 how do i go about getting the time of a schudueled order changed w/o cancelling?,"@260692 Hi there, we're here to help! Send us a note via https://t.co/NcKEnQDmxQ so we can connect.",other,False,3,2017-12-03 18:20:06+00:00,,,
36,595140,"@Uber_Support why is my account not active.  Texas controls rideshare not the city’s.  I don’t have to have a dallas drivers permit,  yet I can’t drive because of you idiots that are clueless.",@261012 We've been in touch via DM!,ride_status,False,4,2017-12-03 18:22:21+00:00,,,
37,594021,@Uber_Support been trying to sign into my old account with a new phone and it is not working. HELP!,@260695 Here to help. Send us a note at https://t.co/Md7v036OoC so our team can connect .,account_access,False,2,2017-12-03 18:22:34+00:00,,,
38,594017,My uber driver just picked me up in a beaten up 2001 Chevy Cavalier in which “the back window will roll down but might not ever roll up”... absolutely magical! #windowlockon @115873,@260693 Here to help! Follow up here - https://t.co/aBEgvdNWQN and our team will connect right away.,ride_status,False,2,2017-12-03 18:23:10+00:00,,,
39,595172,"@Uber_Support I have not been able to ""cashout"" for 3 days. It says ""hmm, looks like we're having trouble reaching the Uber servers"". Any help?","@261022 Here to help! Send us a note here, https://t.co/OhfgxSAY58 and our team will follow up.",other,False,3,2017-12-03 18:25:37+00:00,,,
40,595176,@Uber_Support Hi. How to I order an SUV for several adults and TWO CAR SEATS? I don't see how to get multiple car seats using the app. Thanks!,@261024 Happy to help! Find out more at https://t.co/EofAUQ4oet,app_functionality,False,2,2017-12-03 18:26:22+00:00,,,
41,595174,@115873 why am I getting charged already when the Uber driver hasn’t picked me up yet? #wtf,"@261023 Hi, Veronica! Sorry for the trouble. Send us a note here; https://t.co/bGbBMJqMgN and our team will follow-up.",ride_status,False,2,2017-12-03 18:26:23+00:00,,,
42,595165,@Uber_Support SOS. Hi. Guys. I left my phone in the cab. When I am connecting with the driver he is not responding. Could you please help me with this ?,@261020 Let's take a closer look! Send us a DM with your email address so we can follow up.,ride_status,True,7,2017-12-03 18:29:26+00:00,,,
43,595167,"@Uber_Support Hi, I left my phone behind in a UberX car about an hour ago. I cannot contact the driver because the verification code is being sent to the phone. The trip concluded at 4:39PM. Please can you assist?",@261021 We're here to help! Can you send us a DM with your email address so we can assist?,ride_status,False,2,2017-12-03 18:31:35+00:00,,,
44,595158,"@115873 why the hell are you charging money to me even when driver has cancelled?
I talked to the driver on call he yook the info and later cancelled... https://t.co/okjs6Dta4u",@261019 We're sorry to hear this was your experience. Please send us a note here; https://t.co/593jusCquh so our team can assist.,ride_status,False,2,2017-12-03 18:31:47+00:00,,,
45,595147,"@118730 Hi, what's the story with this delivery fee that the app is trying to charge me for delivery??. It doesn't mention anything about minimum order value so can't be that!! #-ubereats https://t.co/TpsX8k7b2A",@261014 Here to help! Send us a note at https://t.co/NcKEnQDmxQ so our team can connect right away.,trip_fare_dispute,False,2,2017-12-03 18:31:52+00:00,,,
46,595130,"@Uber_Support Please refer image. This message continued for 1 hour and would not allow me to book a pool cab at the promotional rate. I ask, why promise something which you cannot honour? https://t.co/JVpksabAwk",@261009 Happy to help! Can you send us a DM with your email address so we can connect?,other,False,4,2017-12-03 18:32:02+00:00,,,
47,595156,"when @115873 tries to charge you $150 for a ""cleaning fee"" FOR A MESS U DIDNT EVEN MAKE???? Good grief.",@261018 Here to help! Send us a note via https://t.co/a6RfeBkKmr so our team can connect.,trip_fare_dispute,False,3,2017-12-03 18:32:57+00:00,,,
48,595153,@Uber_Support hi ! I've paid twice for one traject. What can I do ?,@261017 We can definitely can take a look. Send us note here; https://t.co/DceIRNI6kV so our team can assist you.,other,False,2,2017-12-03 18:34:28+00:00,,,
49,595149,A very concerning charge just appeared on my @134015 card. Why is an @115873 in California charging me?  I need a refund and answers. https://t.co/QBCpC9XfbE,@261015 Here to help! Send us a note via https://t.co/dInR3racif so our team can connect.,trip_fare_dispute,False,2,2017-12-03 18:35:28+00:00,,,
50,595151,"@115877 @McDonalds every time me and my family order from you, you forget the sauce. I think we can agree that chicken selects are Nothing without sweet chilli sauce and u have ruined my dinner once again and robbed me of 40p",@261016 Here to help! Send us a note at https://t.co/ZFaWy0Lkdu so our team can connect.,other,False,2,2017-12-03 18:37:57+00:00,,,
51,595143,@115877 You are such a bad company. How on earth do you make money when have to gib so many refunds,@261013 Here to help! Please confirm your email address or phone number so we can further assist.,complaint,True,5,2017-12-03 18:41:08+00:00,,,
52,595136,I paid for my friends @115873 last night to the Fremont Bart Station and the ride was $13 somehow I get charged $26 this morning???,"@261011 Hi there, we're here to help! Send us a note via https://t.co/ue84RGNpRP so our team can take a closer look.",ride_status,False,2,2017-12-03 18:42:23+00:00,,,
53,595124,@115873 your service in Egypt is horrible. I was humiliated today from one of your drives in egypt and ur team didn't do anything. Contact me,@261008 Thanks for following up! Please confirm your email address or phone number through direct message so we can further assist.,complaint,True,5,2017-12-03 18:42:55+00:00,,,
54,595133,@Uber_Support I'm upset about one of my Uber trips last night. My first Uber request in a Ford Explorer never showed up and still charged me,@261010 Here to help! Can you please send us a DM your email address? From there we'll be able to assist further.,ride_status,False,4,2017-12-03 18:43:14+00:00,,,
55,596336,"Absolutely terrible customer service from Uber Eats. Order didn't get delivered, money was still charged and a written complaint has gone unacknowledged even after two whole days. @Uber_Support @115877 @4377",@261325 We're here to help! Send us a DM with your email address so we can assist.,trip_fare_dispute,False,2,2017-12-03 18:47:06+00:00,,,
56,595119,"@115873 
Uber cape town , we are loosing long trips mysteriously","@261007 Hi, Oscar! Sorry for the trouble this has been causing you. Kindly send us a DM with your email address and our team will follow-up.",ride_status,False,2,2017-12-03 18:47:30+00:00,,,
57,595117,@Uber_Support I was supposed to receive a $5 from a trip and never got it. Is this how the company works?,"@261006 Hi there, we're here to help! Send us a note here; https://t.co/hr88X1ZGuG, and our team will connect right away.",ride_status,False,2,2017-12-03 18:50:41+00:00,,,
58,595115,@Uber_Support I was charged $75 for a $10 ride how do I dispute or find out why i was overcharged ? Why is there no way to speak directly with someone very frustrating,@257875 Here to help! Send us a note here; https://t.co/IJyXXAn11f and our team will look it up.,ride_status,False,2,2017-12-03 18:50:42+00:00,,,
59,596348,.@115873 allowing drivers to accept  trips before 1km of completion is stupid. waited 15mins before driver cancelled. He was polite to say now I'm cancelling.💩😤,@261330 Here to help! Send us a note via https://t.co/e8HVorX5rh so we can connect.,ride_status,False,2,2017-12-03 18:51:21+00:00,,,
60,595106,@115873 can I add a coupon code after my trip has ended? #uber #CustomerService,"@261003 Here to help! For more info, please click here: https://t.co/CSw3jYhCzc",ride_status,False,2,2017-12-03 18:51:39+00:00,,,
61,595111,"@Uber_Support so my apps keeps calling Ubers that I did not order, restated my phone, deleted the app. Still calling rides please help! #P.S I've been charged $5 for a ride I didn't call or take. This is the second time 🤔😩","@261004 Here to help! Send us a note here, https://t.co/kGIXas5Cxg and our team will follow up.",ride_status,False,2,2017-12-03 18:52:16+00:00,,,
62,595113,"@Uber_Support your driver just literally pulled into the parking lot I’m waiting at, drive out, called me after he left and didn’t say anything on phone!  How do I file Official complaint as I stand here waiting for another driver.","@261005 Hi, Tim! This is not the experience we want you to have. Kindly send us a DM with your email address and our team will look into this.",ride_status,False,2,2017-12-03 18:52:40+00:00,,,
63,595104,"@Uber_Support some odd reason, I can't order from restaurants I've previously ordered from @115877 from the same location. Is there something wrong with the app?","@261002 Hi there, we're here to help! Send us a note via https://t.co/NcKEnQDmxQ so we can help.",app_functionality,False,2,2017-12-03 18:53:01+00:00,,,
64,595102,"@Uber_Support Hi, can't send ""GO"" to 827222. I'm using non-UK number and I just can't send the text. (Uber UK)",@261001 Hi there! Please reach out to https://t.co/zUe0dj6yoX and fill out the 4 boxes at the bottom so we can get in touch.,other,False,3,2017-12-03 18:53:25+00:00,,,
65,595095,@Uber_Support Why I'm i being charged for a trip i had to cancel as the driver decided he is too far away to come pick me up?,@260999 Here to help! Please send us a note via  https://t.co/h840Iouehc  so our team can connect.,ride_status,False,2,2017-12-03 18:54:22+00:00,,,
66,596338,@115877 why do you lie about your delivery times?? Been waiting double the length of time promised &amp; im HUNGRY,"@261326 Here to help! Follow up here; https://t.co/jP6giifgNM, and our team will connect right away.",ride_status,False,2,2017-12-03 18:54:31+00:00,,,
67,596301,@Uber_Support. App won’t let me pick a size. Radio buttons not working. #CouchSurfin #WhatsYourEmail https://t.co/PrMDUojt60,@261314 Here to help! Please send us a DM with your email address and phone number so we can connect.,account_access,False,5,2017-12-03 18:55:05+00:00,,,
68,596329,@115873 @Uber_Support it blows my mind that I have no way of being able to report a driver other than this. Last night me and 3 friends requested an UBER and were told to sit on each other’s laps due to the driver having a passenger then the driver proceeds to drive with “no hands”,@261322 That doesn't sound right! Send us a DM with your email address so we can connect right away.,ride_status,True,7,2017-12-03 18:56:12+00:00,,,
69,596346,"@Uber_Support Hi, my 9 yr old daughter unexpectedly vomited in an uber car earlier and I’ve now been charged £95 for a £12 trip. I don’t think this is fair at all? I was told I would possibly be charged about £10. It’s extortionate for an accident!",@261329 Here to help. Send us a note at https://t.co/a6RfeBkKmr so our team can connect.,ride_status,False,3,2017-12-03 18:56:14+00:00,,,
70,596343,@Uber_Support why is my account disabled,"@261328 Hi, Alfonso. We see your outreach and a member of our team will be following up via email as soon as possible. We appreciate your patience.",account_access,False,2,2017-12-03 18:57:22+00:00,,,
71,596341,@Uber_Support I don't appreciate your driver's slimy comments.,@261327 Here to help! Follow up here - https://t.co/oyYyAsTGGq and our team will connect right away.,ride_status,False,3,2017-12-03 18:59:07+00:00,,,
72,596334,@Uber_Support I have submitted two requests for help since yesterday. Both responses tell me that I should be able to receive uberx requests now. I still cannot. How do I fix this? https://t.co/iY7bylU9hF,@261324 So sorry about that! Send us a DM with your email address so we can connect right away.,other,False,2,2017-12-03 19:00:41+00:00,,,
73,596332,"@Uber_Support Hi, I ordered a chinese on ubereats and an items missing. Not impressed",@261323 We're sorry to hear this. Please send us a note via https://t.co/rpgpQWLRtD so our team can take a look into this for you.,other,False,2,2017-12-03 19:02:35+00:00,,,
74,597266,@Uber_Support this is a case of harrasment and threat to ladies. I want assistance immediately,"@261609 Hi, Llewellyn. We want to get you in touch with our specialized team ASAP. Please reach out directly from here: https://t.co/sKZsBXPxp7 with more details so we can assist.",other,False,2,2017-12-03 19:03:55+00:00,,,
75,596322,@Uber_Support YO My phone is in one of your cars. Maybe you might want to actually provide some support and respond to an F##$#$ing email. Only been trying to contact your organization for an hour.. oh yea.. cant take a phone call cause my phone is in your drivers car...,@261321 Here to help! Please send us a note via   https://t.co/rOtqyWzf0B   so our team can connect.,ride_status,False,2,2017-12-03 19:05:33+00:00,,,
76,596320,@115877 what do we do when the driver delivered the wrong order ?,@261320 Here to help! Send us a note at https://t.co/rpgpQWLRtD so our team can connect right away.,ride_status,False,2,2017-12-03 19:07:10+00:00,,,
77,596313,"If it costs us $5 to cancel an @115873, why don't we get $5 off our ride each driver that cancels on us when we are standing around waiting for them and they randomly bail on us?",@261616 Here to help! Send us a note here; https://t.co/fS660rQ8NQ and our team will look into this.,ride_status,True,8,2017-12-03 19:08:22+00:00,,,
78,596307,"@115873 HOw do you sign into Uber and order a ride if you lost your phone? 
What is the point of sending a verification code to a missing/dead phone?",@261316 We're here to help! Send us a DM with your email address so we can assist.,ride_status,False,3,2017-12-03 19:10:54+00:00,,,
79,596310,Right on...great idea. It would be great customer service too. https://t.co/zvz9NI31Us,"@261317 Here to help, Mike! Send us a note at; https://t.co/h840Iouehc so that our team can assist.",other,False,3,2017-12-03 19:11:06+00:00,,,
80,599444,@116276 @115873 blocked my id as they say that their terms and conditions were violated. Please let's say reset it to a new beginning and I'll  make sure that none of your condition would be violated!,"@255306 Hello, Nikhil. It appears that our team has already followed up with you via email regarding this matter. Our responses can be found both in-app via the Help tab and within the email address associated with your account. Let us know if you have any other questions or concerns.",account_access,False,2,2017-12-03 19:12:06+00:00,,,
81,596292,@Uber_Support how long till I can expect a reply after I had missing items and cold food for my delivery today? 😡,@261312 Here to help! Send us a DM with your email address so we can follow up.,ride_status,False,3,2017-12-03 19:13:53+00:00,,,
82,596304,@115873 can’t yall deactivate my account so I can create a new account. My email address and phone number is in use on two different accounts and yall don’t respond to any emails.,@261315 Here to help! Kindly send us your email address via direct message (DM) so that our team can assist you further.,account_access,False,3,2017-12-03 19:14:50+00:00,,,
83,596295,@Uber_Support can anyone help me with £50 payment for a fare last night that I didn’t use instead of a £5 cancellation fee which it should have been. Can’t find a contact number anywhere online. Thanks guys,@261313 We're here to help! Send us a DM with your email address so we can follow up.,trip_fare_dispute,False,4,2017-12-03 19:15:06+00:00,,,
84,597346,@116288 @Uber_Support @3533... before the ride the amount showed was for 820 rupees and now it got double!!! Please help😥 https://t.co/TzGuQXsbjN,@261632 Here to help! Please send us a note via  https://t.co/pT35thgjaj    so our team can connect.,ride_status,False,2,2017-12-03 19:21:47+00:00,,,
85,597344,"@115873 Pretty sure I left my phone in an uber last night, and I cannot log into my account because it asks for a verification code sent to my phone that is missing... Could you please help me out","@261631 Hi there, we're here to help! Can you send us a DM with your email address so we can assist?",account_access,False,4,2017-12-03 19:24:43+00:00,,,
86,597326,@Uber_Support my Uber account is not working!,"@261629 We can definitely take a closer look! Contact us here; https://t.co/Md7v036OoC, so we can help.",account_access,False,2,2017-12-03 19:28:27+00:00,,,
87,597319,@115877 your service is garbage. After one poor experience I decided to try I again and was met with the same terrible service. Driver was provided the wrong address (again) and food arrived cold and inedible. Very disappointed.,@261626 We're here to help! Send us a DM with your email address so we can assist.,ride_status,False,2,2017-12-03 19:28:38+00:00,,,
88,597340,Pathetic experience @115873 .no support at all. Being overcharged so many times. Is someone listening @119983 @Uber_Support,@261630 Here to help! Please send us a DM with your email address so our team can connect.,trip_fare_dispute,False,2,2017-12-03 19:29:00+00:00,,,
89,597322,@Uber_Support Uber eats won’t let me long in. Not getting the verification code to my phone...,"@261627 Hi there, we're here to help! Can you send us a DM with your email address so we can connect?",account_access,False,3,2017-12-03 19:29:39+00:00,,,
90,597312,@115873 Would you help @27183 distribute food for homeless this Xmas?,@261623 We're here to help! Send us a DM with your email address so we can assist.,other,False,2,2017-12-03 19:30:41+00:00,,,
91,597324,Having to freeze my ass off by opening the window fully cause my @115873 driver’s decided to eat the smelliest food whilst he drives 🤢🤮,@261628 We're sorry to hear this was your experience. Please send us a note here; https://t.co/z8NNR56eyf so we can connect.,ride_status,False,2,2017-12-03 19:32:46+00:00,,,
92,597304,Nearly run over by @115873 car turning right on red light without stopping.,@231314 We absolutely want to follow up right away. Please send us a DM with your email address so we can connect.,other,False,2,2017-12-03 19:33:10+00:00,,,
93,597315,@Uber_Support please help! I sent you a DM.,"@261624 We definitely want to take a closer look. However, due to our policy terms and conditions, we will need to discuss this with the account holder. Please message us with the email address associated with the account and we'll follow up with him directly via in-app support.",other,False,3,2017-12-03 19:33:12+00:00,,,
94,597302,@115877 nice food but wondered why 2 of my items were not in there and 2 different were,@261620 Here to help! Please send us a note here; https://t.co/ZFaWy0Lkdu so our team can connect.,other,False,2,2017-12-03 19:35:03+00:00,,,
95,597309,"@Uber_Support currently on a trip where the driver is incapable of following satnav, has taken a wrong turning, delaying the journey by 30 mins. Please advise on refund",@261622 We're here to help! Send us a DM with your email address so we can assist.,ride_status,False,4,2017-12-03 19:35:52+00:00,,,
96,597306,"Really don’t need this on a Sunday, nice one @115877 https://t.co/eWc669Jl9H","@261621 Hi, Joey! For more info on when and where will UberEats be available in your place, kindly visit this link; https://t.co/bl5B9dVLvX",other,False,2,2017-12-03 19:36:44+00:00,,,
97,597317,@Uber_Support My account has been disabled and I haven´t even used it for the first time!!! I am suposed to have a Free Uber ride from a friend. Who do I contact?? I can not even sign in!! Please heeeeeelp,@261625 Here to help! Please send us a note via  https://t.co/Md7v036OoC  so our team can connect.,ride_status,False,2,2017-12-03 19:36:55+00:00,,,
98,597298,"@Uber_Support I ordered a mcdonalds yesterday through Uber eats (1st ever order) not only was it late and cold, it gave my GF severe food poisoning! She was being sick all night and today! I WANT A FULL REFUND! @2350 is the way forward!",@261618 We take this very seriously. Please send us a DM with your email address so we can connect ASAP.,refund_request,False,2,2017-12-03 19:37:10+00:00,,,
99,597300,@115877 hey y’all should have a option in the app to upload a photo of your food. I’ve gotten some janxy things delivered lately,@261619 Here to help! Send us a note via https://t.co/qLzKaGQcAg so our team can get in touch.,app_functionality,False,2,2017-12-03 19:37:23+00:00,,,
100,597296,Riddle me this @115873 I canceled my Uber so I️ get the $5 cancel fee right? This morning I️ wake up with a $150 charge for a cleaning fee. How does one make a mess in a car that they were never in.......?!? How is this even a dispute when I️t clearly reads I️ canceled my ride. https://t.co/rWdpXVWREd,@261617 We're so sorry for the trouble. Send us a note via https://t.co/a6RfeBkKmr so we can assist.,ride_status,False,2,2017-12-03 19:37:53+00:00,,,
101,597273,@Uber_Support hi ive tried to order food a couple times in the last hour and its cancelled every time can you help me find out if this is an issue with my account or its the restaurant or lack of drivers or something,"@261612 Hey, Laura. Go ahead and DM us your account email along with a few details of your issue, and we'll take a look. Thanks!",ride_status,False,4,2017-12-03 19:38:26+00:00,,,
102,597289,@Uber_Support Please send details for a customer support email as I have a complaint which I would like addressing.,"@261615 Hi there! We're here to help. Let us know if you have any specific questions, or visit our help site at  https://t.co/9zsMJKZ2dB for more info.",ride_status,False,2,2017-12-03 19:39:12+00:00,,,
103,597279,Followed the instructions sent by @Uber_Support yesterday to submit an online form - no response 24 hours later. Is there an Uber customer service telephone number anywhere in existence?? https://t.co/Dfm8o1pABx,"@246517 Hi Gary! Sorry for the trouble. At this moment, we don't offer phone support for these issues. Kindly send us your email address via direct message (DM) so our team can follow-up.",account_access,False,3,2017-12-03 19:43:05+00:00,,,
104,597282,@Uber_Support Hi I've had problems with my promo code. I sent a DM please help,@261614 -We've been in touch via DM!,other,True,8,2017-12-03 19:45:13+00:00,,,
105,597276,"@Uber_Support hello, how do you go about using Uber when you are abroad?",@261613 Hi there! Please reach out to https://t.co/zUe0dj6yoX and fill out the 4 boxes at the bottom so we can get in touch.,other,False,3,2017-12-03 19:49:30+00:00,,,
106,597269,@131434 @131077 @115873 at @261611 #Uber queueing system makes you Wonder. #Misleading #Confused https://t.co/7pjiKBI6sV,@261610 We'll get this sorted out! We have received your in-app inquiry and will reach out to you there shortly.,other,False,3,2017-12-03 19:52:37+00:00,,,
107,597263,@115873 fucking £25 for a 10 minute taxi journey are you fucking kidding ... won't be using ever again! https://t.co/jDibkQMwQw,@261608 Hi there! Please send us a DM with your email address so our team can connect.,other,False,4,2017-12-03 19:55:48+00:00,,,
108,598521,@115877 OMG time as been added to my order 3 times! Is this a joke?!,@261922 Here to help! Send us a note via https://t.co/lzIGTuu2al so our team can get in touch.,complaint,True,2,2017-12-03 20:00:31+00:00,,,
