example_id,customer_message,auto_intent,human_intent,auto_should_escalate,human_should_escalate,human_escalation_reason,annotator_notes
139,@Uber_Support we've been waiting 40 mins in the freezing cold and our driver just cancelled on us. Now the new ride is more expensive. Unbelievable.,ride_status,ride_status,False,False,,Driver cancelled on passenger. Belongs to ride_status.
140,"Hey @115877, spinning is highly illegal in foosball and now you’ve associated my name with cheating. Pretty rude.",complaint,other,True,False,,Humorous/playful non-support tweet. Fits other.
141,@131077 @115873 @Uber_Support can you please tell me if the is any incentive on working on xmas or should we sacrifice our xmas for your passengers ? @262202 uber will never answers question. That's to a driver always ignoring tweets!,ride_status,other,False,False,,"Driver inquiring about Christmas pay incentives. Policy question, classified as other."
142,@115873 @Uber_Support this has happened every week for the last 4 weeks now. I will request an uber in the morning. The app tells me it is arriving and to go outside. Suddenly the driver has changed and their eta is different...,ride_status,ride_status,False,False,,Aligned with automatic classification.
143,fuck you @115873,other,other,False,False,,Aligned with automatic classification.
144,"@Uber_Support Hi, my 9 yr old daughter unexpectedly vomited in an uber car earlier and I’ve now been charged £95 for a £12 trip. I don’t think this is fair at all? I was told I would possibly be charged about £10. It’s extortionate for an accident!",ride_status,trip_fare_dispute,False,True,High-value dispute regarding a £95 cleaning fee charge,"Disputing a £95 cleaning fee. Exceeds $50 threshold, must escalate."
145,@131434 @131077 @115873 at @261611 #Uber queueing system makes you Wonder. #Misleading #Confused https://t.co/7pjiKBI6sV,other,other,False,False,,Aligned with automatic classification.
146,Having to freeze my ass off by opening the window fully cause my @115873 driver’s decided to eat the smelliest food whilst he drives 🤢🤮,ride_status,ride_status,False,False,,Aligned with automatic classification.
147,"@Uber_Support @115873 @119983 @116288 your driver accepted booking (8 min waiting), 20 min later he reaches but in a different colony 5 km away (same house no.), then he starts for correct place but never reaches &amp; keeps cutting call. &amp; I paid ₹42 cancellation. EXPLAIN!",ride_status,cancellation,False,False,,Customer-initiated cancellation request or fee dispute.
148,@Uber_Support the fact that your app tells me I have mock locations and rooting in my phone when I don't; but then suggests that I need to get a note 8 to fix it is not even cool. #frustrated,app_functionality,app_functionality,False,False,,Aligned with automatic classification.
149,@Uber_Support been trying to sign into my old account with a new phone and it is not working. HELP!,account_access,account_access,False,False,,Aligned with automatic classification.
150,@115873 left me hanging in an unsafe situation!!,other,ride_status,False,True,Customer reporting being left stranded in an unsafe situation,"Stranded in unsafe situation. Safety concern, must escalate."
151,@115873 trying to track down a lost item during my last ride and y’all have been 0 help. Thanks,ride_status,ride_status,False,True,Lost item tracking and delayed/poor support response,Lost phone/item recovery. Escalates.
152,@115873 can I add a coupon code after my trip has ended? #uber #CustomerService,ride_status,trip_fare_dispute,False,False,,Inquiry about applying promo code to a completed trip. Fits trip_fare_dispute.
153,Why isn't @30973 on @115877 or @345 !?,other,other,False,False,,Aligned with automatic classification.
154,"@115873 @Uber_Support @11970 On Friday a driver threatened to pull a gun on us, insulted and shoved us, but he reported us first, and we're still waiting on an email from you? What's up with that?",ride_status,complaint,False,True,Extreme safety incident involving physical assault and threat of gun violence by driver,"Customer reports physical assault and threat of gun violence by driver. Severe safety incident, must escalate."
155,"Hey @115873, how much would it cost for a ride from Oakland to East Rutherford, NJ?  Asking for a friend.  #Giants",ride_status,other,False,False,,"General pricing inquiry, not a dispute. Classified as other."
156,"@Uber_Support hello, how do you go about using Uber when you are abroad?",other,other,False,False,,Aligned with automatic classification.
157,"@115877 your driver took 36 mins to walk 2min journey. Delivering cold food, but you’re unable to make price adjustments at this stage? Joke!",ride_status,ride_status,False,False,,Aligned with automatic classification.
158,@115877 OMG time as been added to my order 3 times! Is this a joke?!,complaint,complaint,True,False,,Time extensions complaint. Vent only.
159,"@115873 
Uber cape town , we are loosing long trips mysteriously",ride_status,app_functionality,False,False,,Driver reporting app bug causing trips to disappear. Classified as app_functionality.
160,Absolutely fuming just ordered a McDonalds of @115877 and the juice has spilt all over my food and it's soaking and I can't even find a number to phone!!!!!,other,ride_status,False,False,,Incorrect/damaged order delivery. Classified as ride_status.
161,"Is it normal to have 3 drivers cancel on you at Gatwick @115873 and @Uber_Support? 

This follows from having been stuck in the cold rain for 30 minutes yesterday due to another driver picking up the wrong fare. Awful last few days of usage.",ride_status,ride_status,False,False,,Drivers cancelling on customer. Classified as ride_status.
162,Everyone be careful with @115873  they allow fraudulent credit card transactions. Never even heard of them until today when I see my credit card was used.,complaint,account_access,True,True,Report of fraudulent credit card use and potential unauthorized accounts,"Credit card fraud concern. Security risk, must escalate."
163,Anyone know the Uber customer service number- they charged me twice for a single trip. @Uber_Support @115873 @133311,ride_status,trip_fare_dispute,False,False,,Disputing a double charge. Fits trip_fare_dispute.
164,@Uber_Support @115877 I live in Lodi Nj can you tell me where is the highest demand for (bike) delivery food around my area ??,ride_status,ride_status,False,False,,Aligned with automatic classification.
165,"@Uber_Support @115873 for same distance, I pay 206.07 in the morning, and when come back only 55.02. For this kind of blackmail, what to do??? https://t.co/SQTjALZAqf",other,other,False,False,,Aligned with automatic classification.
166,@115877 why do you lie about your delivery times?? Been waiting double the length of time promised &amp; im HUNGRY,ride_status,ride_status,False,False,,Aligned with automatic classification.
167,@Uber_Support HOW AM I SUPPOSED TO GET MY PHONE BACK IF YOU NEED TO CONTACT ME VIA A PHONE #. IS IT 1967 WHERE EVERYONE HAS A LANDLINE??? CAN YOU USE AN EMAIL LIKE A MODERN PERSON PLEASE? YOU CAN EVEN KIK ME AND THEN WE CAN ALSO EXCHANGE PICS. IDK I WANT MY PHONE BACK.,account_access,ride_status,False,True,Lost item (phone) left in vehicle with contact communication barrier,Lost phone left in vehicle. Escalates.
168,"After already waiting 20 minutes, my uber driver has gone from being 14 minutes away to 15 minutes away @Uber_Support. Not only that but if I cancel I'll incur a fee even though he's dropping someone off before picking me up? What a joke. https://t.co/E2zUIvbbsy",ride_status,cancellation,False,False,,Customer-initiated cancellation request or fee dispute.
169,@McDonalds yalls management with @115877 is so damn so slow!!!,other,other,False,False,,Aligned with automatic classification.
170,"@115877 @McDonalds every time me and my family order from you, you forget the sauce. I think we can agree that chicken selects are Nothing without sweet chilli sauce and u have ruined my dinner once again and robbed me of 40p",other,other,False,False,,"Missing sauce. Minor, not fraud."
171,"I would like to know from @115873 and @200998 , do the uber driver and me, as a commuter, both have two different maps on our respective devices because I was denied pick up by my uber driver. On his device it showed 40minutes and on my  device (Uber app) 20minutes.",ride_status,ride_status,True,False,,Driver denied pickup due to routing discrepancy. Fits ride_status.
172,@Uber_Support what do I need to do? I play by rules and only order when ready at terminal 5 Heathrow but you cancel a car on me after not moving for 10 minutes and now the new car is 15 mins away. 35 mins since ordering and still not here AT terminal 5!!!,other,ride_status,False,False,,Driver delay and automatic cancellations at airport. Fits ride_status.
173,@Uber_Support help! I accidently gave my driver a bad rating! I feel terrible about it.,ride_status,ride_status,False,False,,Aligned with automatic classification.
174,@115877 i tried To reach using the but nobody answer. Several items are missing in my order,other,other,False,False,,Aligned with automatic classification.
175,"@119983 I lost my bag while traveling with @115873. Could you please connect me with the driver. Here is detail. Booking from email ID __email__ and mobile number +91-7042294340.
also, date of journey 30th November 2017 https://t.co/N4nrLkDO7K",ride_status,ride_status,False,True,Lost item (bag) left in vehicle,Lost bag left in vehicle. Escalates.
176,"@Uber_Support Please refer image. This message continued for 1 hour and would not allow me to book a pool cab at the promotional rate. I ask, why promise something which you cannot honour? https://t.co/JVpksabAwk",other,app_functionality,False,False,,App bug blocking promotion pool cab booking. Classified as app_functionality.
177,@115877 You are such a bad company. How on earth do you make money when have to gib so many refunds,complaint,complaint,True,False,,General negative commentary/vent about refunds. No active refund request. Classified as complaint.
178,"@Uber_Support your driver just literally pulled into the parking lot I’m waiting at, drive out, called me after he left and didn’t say anything on phone!  How do I file Official complaint as I stand here waiting for another driver.",ride_status,complaint,False,False,,Customer asking how to file complaint about driver behavior. Fits complaint.
179,@115873 @Uber_Support it blows my mind that I have no way of being able to report a driver other than this. Last night me and 3 friends requested an UBER and were told to sit on each other’s laps due to the driver having a passenger then the driver proceeds to drive with “no hands”,ride_status,ride_status,True,True,Pedestrian safety report regarding reckless driver behavior,"Reporting dangerous driving with no hands. Safety/security concern, must escalate."
180,I can’t fuck with @115877 anymore. They tried me the last two times 🤬,other,other,False,False,,Aligned with automatic classification.
181,@115873 why am I getting charged already when the Uber driver hasn’t picked me up yet? #wtf,ride_status,ride_status,False,False,,Aligned with automatic classification.
182,@115877 is a joke when your driver keeps over half of your order. Never ordering from them again,ride_status,ride_status,False,True,Driver theft of customer property (stolen food),"Driver stole food delivery. Theft concern, must escalate."
183,My uber driver just picked me up in a beaten up 2001 Chevy Cavalier in which “the back window will roll down but might not ever roll up”... absolutely magical! #windowlockon @115873,ride_status,ride_status,False,False,,Aligned with automatic classification.
184,@115873 your service in Egypt is horrible. I was humiliated today from one of your drives in egypt and ur team didn't do anything. Contact me,complaint,complaint,True,True,Customer humiliated/harassed by driver during ride,"Rider reports being humiliated by a driver. Severe behavioral complaint, escalates."
185,Ordered UberEATS and when my driver arrived called and texted him multiple times as well as going outside looking for him and he didn’t respond to anything and cancelled my order... @115877,ride_status,ride_status,False,False,,Driver did not respond during delivery and cancelled order. Fits ride_status.
186,"Hi @115873 your app was unable to verify my CC by taking a photo even though the entire border was green, and a photo is the only option. I had to take a yellow cab as a result. Why did your app not recognize my card and why is there no other way to verify my CC?",account_access,account_access,False,False,,Aligned with automatic classification.
187,Followed the instructions sent by @Uber_Support yesterday to submit an online form - no response 24 hours later. Is there an Uber customer service telephone number anywhere in existence?? https://t.co/Dfm8o1pABx,account_access,account_access,False,False,,Aligned with automatic classification.
188,@115873 just came home from #ACCChampionshipGame in Charlotte NC. Uber Cars there were so dirty and rundown. XL weren't really XL. Very disappointing!,app_functionality,ride_status,False,False,,Complaint about dirty cars and incorrect XL vehicle size. Fits ride_status.
189,@Uber_Support I recently moved back home to Kansas but my profile is still registered in Illinois... Can I have that released so I can drive in Kansas?,other,other,False,False,,Aligned with automatic classification.
190,Does @115877 deliver edibles?,other,other,False,False,,Aligned with automatic classification.
191,"when @115873 tries to charge you $150 for a ""cleaning fee"" FOR A MESS U DIDNT EVEN MAKE???? Good grief.",trip_fare_dispute,trip_fare_dispute,False,True,High-value fare dispute regarding a $150 cleaning fee charge,"Disputing a $150 cleaning fee. Exceeds $50 limit, must escalate."
192,@115877 nice food but wondered why 2 of my items were not in there and 2 different were,other,other,False,False,,Aligned with automatic classification.
193,@Uber_Support I have lost my phone. I can't login to my account (due to 2FA) and I need to contact the driver about whether the phone was left in the vehicle.,ride_status,ride_status,False,True,Lost item (phone) left in vehicle with 2FA access barrier,Lost phone left in vehicle. Escalates.
194,Guys... I am dead. My @115877 delivery guy just stole my food 💀💀,other,ride_status,False,True,Delivery driver theft of customer property (stolen food),"Driver stole food delivery. Theft concern, must escalate."
195,@Uber_Support I am planning on flying with an infant car seat for my child. What is the policy of using my own car seat in an uber?,other,other,False,False,,Inquiry about car seat policy. Classified as other.
196,"@Uber_Support hello, ive emailed support maybe ill get a quicker respond if you DM me. thanks !",account_access,other,False,True,Insufficient information in public message to address issue safely,Vague DM request. Escalates for safe human verification.
197,Yo @115873 you charged my credit card 3 times for 1 ride. Can I get refunded for my other 2 charges. I heard I’m not the 1st person who had this issue. This is a major issue you guys need to fix!!,ride_status,refund_request,False,False,,Explicit refund request in text.
198,@Uber_Support. App won’t let me pick a size. Radio buttons not working. #CouchSurfin #WhatsYourEmail https://t.co/PrMDUojt60,account_access,app_functionality,False,False,,Radio buttons not working. UI bug.
199,"@Uber_Support I can't sign in on the website, because the confirmation code is sent to a number I used in the US. I can't order a ride on my phone. But now is the time I really need to use Uber.",ride_status,account_access,False,False,,Confirmation code to old number. Account access.
200,"@Uber_Support Hey my @McDonalds meal came incorrect AGAIN, whats the phone number to contact asap",account_access,ride_status,False,False,,Incorrect food order delivery. Fits ride_status.
